count,FPS
0,1988
2,1492
4,1095
6,860
8,714
10,599
12,520
14,477
16,421
18,382
20,341
30,221
40,164
50,128
60,109
70,92
80,82
90,74
100,67
120,56
140,48
160,43
180,38
200,34
250,28
300,23
400,17
500,12
