count,FPS
0,2155
2,1440
4,1058
6,838
8,696
10,588
12,509
14,436
16,386
18,353
20,315
30,208
40,155
50,122
60,104
70,90
80,79
90,69
100,65
120,54
140,46
160,42
180,37
200,33
250,27
300,23
400,17
500,13
