count,FPS
0,2155
2,1281
4,888
6,682
8,540
10,484
12,409
14,360
16,327
18,314
20,263
30,281
40,288
50,302
60,307
70,313
80,342
90,314
100,322
120,318
140,317
160,328
180,342
200,274
250,388
300,392
400,420
500,439
