count,FPS
0,2155
2,1277
4,900
6,704
8,566
10,488
12,408
14,372
16,327
18,302
20,257
30,187
40,142
50,117
60,99
70,88
80,72
90,66
100,59
120,49
140,43
160,37
180,32
200,29
250,22
300,20
400,15
500,11
