count,FPS
0,943
2,936
4,882
6,846
8,656
10,559
12,486
14,430
16,385
18,346
20,318
30,223
40,171
50,139
60,118
70,101
80,89
90,80
100,72
120,60
140,52
160,46
180,41
200,37
250,30
300,26
400,21
500,15
