test,count,RTF,CPU,CPU_TEMP,GPU,GPU_TEMP,RAM_USED,VRAM_USED
multi-robot,2,0.9995312060000001,"[13.1, 3.7, 6.4, 31.3, 0.9, 37.6, 0.0, 0.9, 12.0, 0.9, 25.9, 5.6, 0.0, 63.3, 0.9, 0.9]",49.25,100,57,2373865472,737
multi-robot,2,0.999371034,"[18.6, 18.7, 9.6, 6.3, 3.6, 32.4, 7.3, 2.7, 2.8, 13.5, 3.7, 7.0, 6.4, 2.8, 66.1, 2.7]",49.375,100,57,2374459392,737
multi-robot,2,0.999533981,"[9.4, 6.3, 11.9, 12.0, 0.0, 0.9, 0.0, 1.0, 8.0, 12.7, 2.7, 9.4, 0.0, 0.0, 100.0, 4.5]",49.5,100,58,2374152192,737
multi-robot,2,0.9996717930000001,"[1.9, 25.9, 6.4, 12.0, 0.9, 14.5, 29.4, 10.9, 7.0, 5.5, 2.7, 2.8, 1.9, 0.9, 76.9, 0.9]",49.75,100,58,2375258112,737
multi-robot,2,0.998941021,"[4.8, 4.7, 1.9, 15.9, 0.0, 0.0, 88.6, 20.0, 22.4, 2.8, 3.7, 1.0, 0.0, 0.0, 12.3, 0.0]",49.75,100,59,2374070272,737
multi-robot,2,0.9990658920000001,"[43.0, 17.0, 25.9, 4.7, 9.6, 13.4, 41.1, 1.8, 3.7, 25.9, 7.4, 2.8, 0.9, 0.9, 0.0, 1.0]",49.25,100,59,2373812224,737
multi-robot,2,0.999685801,"[14.2, 100.0, 5.4, 1.8, 5.5, 6.5, 4.0, 0.0, 0.9, 1.9, 3.7, 2.8, 19.1, 29.6, 1.9, 4.6]",49.25,100,59,2374316032,737
multi-robot,2,0.99967868,"[18.2, 17.8, 84.3, 2.8, 3.7, 1.9, 22.5, 25.2, 2.8, 4.6, 5.5, 3.7, 20.4, 2.8, 5.4, 2.8]",49.5,100,60,2374189056,737
multi-robot,2,0.9992391460000001,"[15.5, 0.9, 53.2, 0.9, 3.9, 0.0, 0.0, 26.4, 0.0, 1.9, 48.1, 1.9, 13.0, 0.0, 3.6, 24.2]",49.625,100,60,2375036928,737
multi-robot,2,0.999671963,"[4.7, 2.8, 7.3, 1.1, 15.8, 1.9, 1.8, 4.5, 1.9, 3.7, 86.2, 11.8, 2.8, 1.8, 1.9, 28.7]",49.875,100,61,2375057408,737
multi-robot,2,0.9992131030000001,"[61.5, 5.5, 13.9, 6.7, 54.5, 1.9, 0.0, 2.3, 9.2, 0.9, 0.9, 4.7, 2.8, 3.6, 0.0, 0.0]",49.625,100,61,2374127616,737
multi-robot,2,0.9999236210000001,"[0.9, 2.8, 17.3, 0.9, 0.9, 0.9, 1.8, 4.7, 100.0, 1.9, 0.9, 1.9, 34.8, 28.0, 4.6, 0.9]",49.5,100,61,2373795840,737
