count,FPS
0,943
2,935
4,884
6,835
8,660
10,558
12,482
14,420
16,382
18,338
20,318
30,220
40,165
50,136
60,114
70,97
80,87
90,76
100,71
120,59
140,51
160,45
180,38
200,34
250,29
300,24
400,18
500,15
